submission_id,age,comments,condition,education,experiment_duration,experiment_end_time,experiment_start_time,gender,item_id,languages,options,options_list,options_order,orientation,question,randomize,response,responseTime,trial_nr
472,36,NA,NA,Graduated College,65665,1692826810251,1692826744586,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,koala bear,6075,NA
508,34,NA,NA,Higher degree,181793,1692861803152,1692861621359,male,NA,english,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,koala bear,40590,NA
509,29,NA,NA,Graduated High-school,209897,1692861809021,1692861599124,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,koala bear,16271,NA
443,63,Thank you!,NA,Graduated College,78406,1692826024867,1692825946461,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,Koala Bear,10592,NA
433,36,NA,NA,Higher degree,91538,1692802029459,1692801937921,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,Koala bear,10378,NA
434,38,NA,NA,Higher degree,72963,1692802099029,1692802026066,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,tiger,15413,NA
435,29,NA,NA,Graduated College,121418,1692802167815,1692802046397,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,dog,22969,NA
436,30,NA,NA,Higher degree,66748,1692802400555,1692802333807,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,koala bear,6285,NA
705,26,N/A,NA,Graduated High-school,76603,1693819602188,1693819525585,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,koala bear,15932,NA
437,21,none,NA,Graduated College,60063,1692802489877,1692802429814,female,NA,english,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,koala bear,7112,NA
444,60,NA,NA,Graduated College,102221,1692826053473,1692825951252,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,koala bear,24049,NA
438,22,Sloths are chill,NA,Graduated High-school,106642,1692802614003,1692802507361,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,Sloth,9474,NA
439,55,NA,NA,Graduated College,173479,1692802678689,1692802505210,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,kowala bear,27993,NA
440,23,NA,NA,Graduated High-school,105947,1692802723358,1692802617411,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,sloth,30475,NA
441,24,NA,NA,Graduated College,50815,1692802892644,1692802841829,female,NA,NA,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,turtle,10546,NA
445,30,NA,NA,Higher degree,143503,1692826149013,1692826005510,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,sloth,21519,NA
442,42,None,NA,Higher degree,81621,1692802968718,1692802887097,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,cat,14304,NA
446,38,NA,NA,Graduated College,127208,1692826176520,1692826049312,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,koala bear,14367,NA
447,26,NA,NA,Higher degree,74352,1692826204982,1692826130630,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,bear,14792,NA
448,26,NA,NA,Graduated High-school,55236,1692826217314,1692826162078,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,deer,10484,NA
455,21,NA,NA,Graduated High-school,87315,1692826478771,1692826391456,other,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,elephant,18912,NA
449,44,NA,NA,Graduated High-school,135113,1692826233938,1692826098825,male,NA,english,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,sloth,12063,NA
450,32,NA,NA,Graduated College,75064,1692826248626,1692826173562,female,NA,english,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,cat,11006,NA
451,44,NA,NA,Graduated College,126942,1692826351521,1692826224579,male,NA,english,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,sloth,13504,NA
452,32,NA,NA,NA,111266,1692826352600,1692826241334,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,Koala bear,7963,NA
453,53,NA,NA,Higher degree,262775,1692826425169,1692826162394,female,NA,NA,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,"a soho, monkie, bdaymonkey",49213,NA
454,28,NA,NA,Higher degree,78675,1692826457284,1692826378609,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,Sloth,30347,NA
456,40,"none, thank you!",NA,Graduated High-school,96306,1692826499281,1692826402975,female,NA,english,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,sloth,10039,NA
457,49,NA,NA,Higher degree,52126,1692826566004,1692826513878,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,cat,9357,NA
458,25,NA,NA,Graduated High-school,63006,1692826578413,1692826515407,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,Sloth,5945,NA
459,NA,NA,NA,NA,33865,1692826595450,1692826561585,NA,NA,NA,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,bear,9403,NA
460,29,NA,NA,Graduated High-school,130132,1692826598957,1692826468825,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,Koala bear,32279,NA
461,50,NA,NA,Graduated High-school,113412,1692826638001,1692826524589,male,NA,NA,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,tiger,16311,NA
462,26,NA,NA,Graduated High-school,203357,1692826644336,1692826440979,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,sloth,19413,NA
463,36,NA,NA,Graduated High-school,188713,1692826646675,1692826457962,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,Koala Bear,56798,NA
464,45,NA,NA,Graduated College,101414,1692826669782,1692826568368,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,sloth,7869,NA
465,29,NA,NA,Graduated College,97748,1692826688054,1692826590306,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,Kola,12649,NA
466,56,NA,NA,Graduated High-school,71116,1692826708768,1692826637652,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,dog,10184,NA
467,23,NA,NA,Graduated High-school,174390,1692826731452,1692826557062,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,Zebra,16287,NA
468,31,NA,NA,Graduated High-school,71436,1692826768419,1692826696983,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,panda,10087,NA
469,20,NA,NA,Graduated High-school,67557,1692826773013,1692826705456,female,NA,english,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,hippo,8774,NA
470,23,NA,NA,Graduated College,38654,1692826782956,1692826744302,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,Cat,9933,NA
473,64,Everything seemed ok,NA,Graduated High-school,212715,1692826820840,1692826608125,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,koala bear,8754,NA
476,29,NA,NA,Graduated College,39482,1692826859790,1692826820308,male,NA,english,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,tiger,10638,NA
471,40,n/a,NA,Graduated College,71323,1692826809072,1692826737749,male,NA,NA,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,sloth,13600,NA
474,36,Thank you,NA,Graduated High-school,161375,1692826824442,1692826663067,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,Sloth,9842,NA
475,26,NA,NA,Graduated High-school,106938,1692826843299,1692826736361,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,sloth,8325,NA
478,29,None,NA,Graduated High-school,136228,1692826875963,1692826739735,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,koala,25705,NA
480,37,None,NA,Graduated High-school,221448,1692826906635,1692826685187,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,koala bear,67330,NA
482,24,NA,NA,Graduated High-school,182332,1692826922328,1692826739996,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,koala bear,9982,NA
477,36,NA,NA,Graduated College,51158,1692826864992,1692826813834,female,NA,english,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,rat,11854,NA
479,26,NA,NA,Graduated High-school,84065,1692826900196,1692826816131,male,NA,Vietnamese,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,koala bear,7374,NA
481,25,Was this study written by someone who speaks English?,NA,Higher degree,133678,1692826908048,1692826774370,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,tiger,18965,NA
483,26,NA,NA,Graduated College,74145,1692861670502,1692861596357,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,penguin,10464,NA
484,40,NA,NA,Graduated High-school,111313,1692861688123,1692861576810,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,koala bear,22990,NA
485,28,NA,NA,Graduated College,95734,1692861693460,1692861597726,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,tiger,11585,NA
491,30,NA,NA,Graduated College,49731,1692861727212,1692861677481,male,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,koala bear,2405,NA
511,25,n/a,NA,Graduated College,197738,1692861819254,1692861621516,female,NA,English,NA,NA,NA,NA,Please type in your favorite animal which you picked before the start of the study in lower case in the text area below. Please don't type anything else.,NA,sloth,75321,NA
