submission_id,age,comments,condition,education,experiment_duration,experiment_end_time,experiment_start_time,gender,item_id,languages,options,options_list,options_order,orientation,question,randomize,response,responseTime,trial_nr,split_order,split_options,chosen_option_ind,chosen_option
433,36,NA,too_little,Higher degree,91538,1692802029459,1692801937921,female,24,English,Alex once volunteered as an assistant in a magic trick.|Alex does not want to talk about the magic tricks.|the magician had a trick with birds.|the curtains were a nice bright red color.,Alex once volunteered as an assistant in a magic trick.|Alex does not want to talk about the magic tricks.|the magician had a trick with birds.|the curtains were a nice bright red color.,distractor_1_prejacent|target_prejacent|distractor_2_prejacent|competitor_prejacent,vertical,Which of the following four sentences best expresses what Alex meant with their utterance?,FALSE,the curtains were a nice bright red color.,15788,2,,,4,competitor_prejacent
503,35,Koalas are very cute,marked,Graduated College,127095,1692861782354,1692861655259,female,24,english,the magician had a trick with birds.|Alex does not want to talk about the magic tricks.|the curtains were a nice bright red color.|Alex once volunteered as an assistant in a magic trick.,the magician had a trick with birds.|Alex does not want to talk about the magic tricks.|the curtains were a nice bright red color.|Alex once volunteered as an assistant in a magic trick.,distractor_2_prejacent|target_prejacent|competitor_prejacent|distractor_1_prejacent,vertical,Which of the following four sentences best expresses what Alex meant with their utterance?,FALSE,Alex does not want to talk about the magic tricks.,17105,2,,,2,target_prejacent
519,37,NA,irrelevant,Graduated College,279743,1692861879396,1692861599653,female,24,English,Alex once volunteered as an assistant in a magic trick.|the curtains were a nice bright red color.|Alex does not want to talk about the magic tricks.|the magician had a trick with birds.,Alex once volunteered as an assistant in a magic trick.|the curtains were a nice bright red color.|Alex does not want to talk about the magic tricks.|the magician had a trick with birds.,distractor_1_prejacent|competitor_prejacent|target_prejacent|distractor_2_prejacent,vertical,Which of the following four sentences best expresses what Alex meant with their utterance?,FALSE,the curtains were a nice bright red color.,34473,2,,,2,competitor_prejacent
549,32,NA,too_much,Graduated College,112637,1693489986697,1693489874060,male,24,English,"Alex once volunteered as an assistant in a magic trick.|the magician had a trick with birds.|the magician intentionally did something that shocked the audience, e.g. pulled out a rabbit from a top hat.|the magician unintentionally did something that shocked the audience, e.g. they interrupted their performance.","Alex once volunteered as an assistant in a magic trick.|the magician had a trick with birds.|the magician intentionally did something that shocked the audience, e.g. pulled out a rabbit from a top hat.|the magician unintentionally did something that shocked the audience, e.g. they interrupted their performance.",distractor_1_prejacent|distractor_2_prejacent|competitor_prejacent|target_prejacent,vertical,Which of the following four sentences best expresses what Alex meant with their utterance?,FALSE,"the magician intentionally did something that shocked the audience, e.g. pulled out a rabbit from a top hat.",18439,2,,,3,competitor_prejacent
567,36,NA,too_little,Higher degree,55696,1693490040668,1693489984972,male,24,English,Alex once volunteered as an assistant in a magic trick.|there were some magic tricks.|the  magic tricks were not very good.|the magician had a trick with birds.,Alex once volunteered as an assistant in a magic trick.|there were some magic tricks.|the  magic tricks were not very good.|the magician had a trick with birds.,distractor_1_prejacent|competitor_prejacent|target_prejacent|distractor_2_prejacent,vertical,Which of the following four sentences best expresses what Alex meant with their utterance?,FALSE,there were some magic tricks.,4292,2,,,2,competitor_prejacent
601,28,N/A,irrelevant,Graduated High-school,91515,1693490471194,1693490379679,male,24,English,Alex does not want to talk about the magic tricks.|the magician had a trick with birds.|the curtains were a nice bright red color.|Alex once volunteered as an assistant in a magic trick.,Alex does not want to talk about the magic tricks.|the magician had a trick with birds.|the curtains were a nice bright red color.|Alex once volunteered as an assistant in a magic trick.,target_prejacent|distractor_2_prejacent|competitor_prejacent|distractor_1_prejacent,vertical,Which of the following four sentences best expresses what Alex meant with their utterance?,FALSE,the curtains were a nice bright red color.,11631,2,,,3,competitor_prejacent
622,50,NA,irrelevant,Graduated College,135472,1693490576037,1693490440565,female,24,English,"the magician unintentionally did something that shocked the audience, e.g. they interrupted their performance.|Alex once volunteered as an assistant in a magic trick.|the magician intentionally did something that shocked the audience, e.g. pulled out a rabbit from a top hat.|the magician had a trick with birds.","the magician unintentionally did something that shocked the audience, e.g. they interrupted their performance.|Alex once volunteered as an assistant in a magic trick.|the magician intentionally did something that shocked the audience, e.g. pulled out a rabbit from a top hat.|the magician had a trick with birds.",target_prejacent|distractor_1_prejacent|competitor_prejacent|distractor_2_prejacent,vertical,Which of the following four sentences best expresses what Alex meant with their utterance?,FALSE,"the magician intentionally did something that shocked the audience, e.g. pulled out a rabbit from a top hat.",22356,2,,,3,competitor_prejacent
636,45,Thank you,too_little,Graduated High-school,147073,1693490967790,1693490820717,male,24,English,Alex once volunteered as an assistant in a magic trick.|there were some magic tricks.|the  magic tricks were not very good.|the magician had a trick with birds.,Alex once volunteered as an assistant in a magic trick.|there were some magic tricks.|the  magic tricks were not very good.|the magician had a trick with birds.,distractor_1_prejacent|competitor_prejacent|target_prejacent|distractor_2_prejacent,vertical,Which of the following four sentences best expresses what Alex meant with their utterance?,FALSE,the  magic tricks were not very good.,17961,2,,,3,target_prejacent
642,27,NA,too_little,Graduated College,212611,1693814833925,1693814621314,male,24,English,the magic tricks were good.|the magician had a trick with birds.|the magic tricks were not good.|Alex once volunteered as an assistant in a magic trick.,the magic tricks were good.|the magician had a trick with birds.|the magic tricks were not good.|Alex once volunteered as an assistant in a magic trick.,target_prejacent|distractor_2_prejacent|competitor_prejacent|distractor_1_prejacent,vertical,Which of the following four sentences best expresses what Alex meant with their utterance?,FALSE,the magic tricks were good.,31419,2,,,1,target_prejacent
677,18,NA,too_little,Graduated High-school,78504,1693818617771,1693818539267,female,24,english,Alex once volunteered as an assistant in a magic trick.|the magic tricks were good.|the magic tricks were not good.|the magician had a trick with birds.,Alex once volunteered as an assistant in a magic trick.|the magic tricks were good.|the magic tricks were not good.|the magician had a trick with birds.,distractor_1_prejacent|target_prejacent|competitor_prejacent|distractor_2_prejacent,vertical,Which of the following four sentences best expresses what Alex meant with their utterance?,FALSE,the magic tricks were good.,12888,2,,,2,target_prejacent
