item_id,context,inference_type,trigger,target_prejacent,competitor_prejacent,distractor_1_prejacent,distractor_2_prejacent,speaker
1,Betsy went to a talent show yesterday in which your mutual friend Alex took part. You ask Betsy: “How was Alex’s performance?” Betsy replies:,too_little,Alex sang a song.,Alex’s performance was dull.,Alex sang a song.,Betsy really likes talent shows in general.,Betsy is in love with Alex.,Betsy
1,Betsy went to a talent show yesterday in which your mutual friend Alex took part. You ask Betsy: “How was Alex’s performance?” Betsy replies:,too_much,Alex produced a series of sounds corresponding roughly to the score of an aria from Rigoletto.,Alex’s performance was not very good.,Alex produced a series of sounds corresponding roughly to the score of an aria from Rigoletto.,Betsy really likes talent shows in general.,Betsy is in love with Alex.,Betsy
1,Betsy went to a talent show yesterday in which your mutual friend Alex took part. You ask Betsy: “How was Alex’s performance?” Betsy replies:,irrelevant,Danny’s performance was excellent.,Betsy does not want to talk about Alex’s performance.,Danny’s performance was excellent.,Betsy really likes talent shows in general.,Betsy is in love with Alex.,Betsy
1,Betsy went to a talent show yesterday in which your mutual friend Alex took part. You ask Betsy: “How was Alex’s performance?” Betsy replies:,marked,Alex caused the audience to laugh.,"Alex made the audience laugh unintentionally, e.g., by mistake.","Alex made the audience laugh intentionally e.g., by telling a joke.",Betsy really likes talent shows in general.,Betsy is in love with Alex.,Betsy
1,Betsy went to a talent show yesterday in which your mutual friend Alex took part. You ask Betsy: “How was Alex’s performance?” Betsy replies:,baseline,Alex performed really well.,Alex performed really well.,Alex didn’t take part in the talent show.,Betsy really likes talent shows in general.,Betsy is in love with Alex.,Betsy
2,Your friend Jay went to a job interview yesterday. You ask Jay: “How did the interview go?” Jay replies:,too_little,There were questions.,Jay is not happy with how the interview went.,there were questions.,Jay was very flattered to have been invited.,Jay wanted a higher salary.,Jay
2,Your friend Jay went to a job interview yesterday. You ask Jay: “How did the interview go?” Jay replies:,too_much,"They asked me job-related questions, I tried hard to understand them, and produced some language in response.",Jay’s performance was not very good.,"Jay was asked job-related questions, Jay tried hard to understand them, and produced some language in response.",Jay was very flattered to have been invited.,Jay wanted a higher salary.,Jay
2,Your friend Jay went to a job interview yesterday. You ask Jay: “How did the interview go?” Jay replies:,irrelevant,"I just baked a cake, actually.",Jay would rather not talk about the interview.,Jay just baked a cake.,Jay was very flattered to have been invited.,Jay wanted a higher salary.,Jay
2,Your friend Jay went to a job interview yesterday. You ask Jay: “How did the interview go?” Jay replies:,marked,I caused the interview to end early.,Jay blames themselves for the interview going badly and they are not happy about it.,Jay ended the interview early intentionally or with purpose.,Jay was very flattered to have been invited.,Jay wanted a higher salary.,Jay
2,Your friend Jay went to a job interview yesterday. You ask Jay: “How did the interview go?” Jay replies:,baseline,"Some parts were good, others I should have done better.","Some parts were good, others Jay should have done better.",Jay is sure that Jay will get the job.,Jay was very flattered to have been invited.,Jay wanted a higher salary.,Jay
